pop_total,zip code tabulation area,pop_white,pop_black,pop_hispanic
8642.0,43964,8209.0,256.0,27.0
51116.0,28216,12020.0,32646.0,4077.0
71605.0,28277,47299.0,6154.0,5172.0
27286.0,28278,12758.0,8214.0,2870.0
29414.0,28303,12090.0,11295.0,3084.0
58110.0,28314,18095.0,26366.0,8574.0
444.0,28330,340.0,104.0,0.0
2329.0,28347,540.0,879.0,826.0
4698.0,28351,2606.0,1255.0,16.0
2682.0,28357,1337.0,525.0,341.0
2865.0,28369,1286.0,947.0,161.0
7249.0,28371,3576.0,1980.0,404.0
1628.0,28392,966.0,655.0,7.0
6533.0,28428,6145.0,7.0,123.0
5375.0,28433,1796.0,3339.0,166.0
2058.0,28435,1506.0,330.0,75.0
2596.0,28450,1766.0,222.0,84.0
19897.0,28461,17674.0,390.0,1204.0
12659.0,28462,11108.0,1165.0,97.0
146.0,28537,140.0,3.0,3.0
25420.0,28547,16102.0,2603.0,4580.0
146.0,28552,146.0,0.0,0.0
15204.0,28557,12550.0,1167.0,869.0
27590.0,28560,19661.0,4825.0,1379.0
38598.0,28562,25869.0,8579.0,1993.0
21590.0,28570,18285.0,1129.0,1111.0
18116.0,28574,13650.0,1713.0,1789.0
554.0,28579,539.0,10.0,0.0
2602.0,28373,1760.0,708.0,68.0
15183.0,28364,1084.0,3085.0,45.0
5564.0,28366,2851.0,1086.0,1380.0
12933.0,28377,1682.0,3311.0,2237.0
8854.0,28383,1101.0,2205.0,90.0
5997.0,28386,495.0,712.0,1561.0
7765.0,28398,2445.0,3489.0,1457.0
11634.0,28425,6317.0,3716.0,1022.0
7525.0,28429,5366.0,1769.0,187.0
2707.0,28464,842.0,1425.0,440.0
5366.0,28073,3873.0,1222.0,5.0
3629.0,28098,2566.0,551.0,371.0
2453.0,28119,775.0,1395.0,283.0
25158.0,28144,11718.0,10963.0,1663.0
27581.0,28150,18019.0,7898.0,962.0
10056.0,28168,9284.0,131.0,321.0
56910.0,28173,44837.0,4071.0,3129.0
48539.0,28205,20923.0,13596.0,9518.0
41356.0,28214,14623.0,16883.0,5958.0
17830.0,28307,9459.0,3028.0,3768.0
13700.0,28315,8197.0,3647.0,846.0
4371.0,28318,3624.0,252.0,297.0
9919.0,28320,7027.0,2405.0,284.0
11075.0,28333,2491.0,4461.0,3816.0
9248.0,28730,8164.0,246.0,755.0
6692.0,28544,4273.0,1360.0,680.0
12089.0,28470,9025.0,1850.0,890.0
304.0,28524,304.0,0.0,0.0
6457.0,28530,3506.0,2547.0,359.0
1019.0,28556,806.0,95.0,0.0
2053.0,28573,1074.0,879.0,89.0
10499.0,28621,8571.0,463.0,1331.0
818.0,28631,700.0,0.0,118.0
1117.0,28644,1094.0,0.0,23.0
7033.0,28675,5898.0,249.0,798.0
2370.0,28684,2312.0,7.0,23.0
32330.0,28405,23839.0,6088.0,1619.0
1584.0,28442,857.0,546.0,141.0
1962.0,28444,1055.0,850.0,12.0
9294.0,28466,6486.0,1807.0,906.0
363.0,28718,363.0,0.0,0.0
6477.0,28722,5298.0,267.0,801.0
464.0,28077,443.0,9.0,10.0
6074.0,28097,5527.0,86.0,379.0
11397.0,28103,8496.0,2152.0,514.0
45786.0,28105,32564.0,4886.0,4828.0
53520.0,28110,35531.0,6789.0,9902.0
6192.0,28124,5881.0,70.0,49.0
7860.0,28127,6607.0,889.0,156.0
3248.0,28137,2762.0,149.0,108.0
20900.0,28139,18602.0,1303.0,537.0
45694.0,28212,8303.0,18963.0,12610.0
29410.0,28217,4166.0,12422.0,9535.0
55769.0,28227,27189.0,15710.0,9213.0
27897.0,29440,13904.0,12603.0,679.0
3548.0,29450,1155.0,2298.0,0.0
484.0,29452,159.0,325.0,0.0
30609.0,29456,19280.0,6830.0,2448.0
6966.0,29477,3167.0,3523.0,124.0
2242.0,29525,643.0,1313.0,5.0
21046.0,29340,15404.0,4521.0,647.0
4199.0,29353,3212.0,922.0,18.0
578.0,29364,464.0,85.0,0.0
13567.0,29369,10076.0,2654.0,228.0
1187.0,29370,798.0,363.0,22.0
3756.0,29374,3422.0,118.0,58.0
7834.0,29385,4595.0,1594.0,1018.0
2309.0,29448,1408.0,864.0,1.0
38267.0,29466,33994.0,2565.0,920.0
9242.0,29472,4238.0,3933.0,388.0
22056.0,29488,11976.0,8744.0,814.0
46516.0,29501,27684.0,15790.0,1100.0
10493.0,29510,5282.0,4674.0,383.0
9601.0,29541,6071.0,3128.0,99.0
524.0,29943,161.0,363.0,0.0
2148.0,29482,2048.0,6.0,51.0
57000.0,29485,38725.0,10682.0,3696.0
1042.0,29518,683.0,353.0,6.0
3524.0,29547,1513.0,1429.0,459.0
15066.0,29568,9686.0,4827.0,339.0
37681.0,29615,28078.0,3764.0,2887.0
30295.0,29640,25997.0,2180.0,1459.0
2088.0,29643,2031.0,37.0,0.0
26598.0,29649,17320.0,7159.0,769.0
5885.0,29661,5404.0,115.0,291.0
2084.0,29664,2049.0,0.0,35.0
6610.0,29666,5459.0,992.0,129.0
29287.0,29673,21026.0,5692.0,1489.0
5305.0,29676,5163.0,53.0,47.0
